"search.str";"lat";"lon"
"Byrsonima sericea";-19,640767;-41,157786
"Naucleopsis oblongifolia";-19,248295;-39,957005
"Sloanea retusa";-19,247983;-39,956185
"Psidium gaudichaudianum";-19,260807;-40,001503
"Myrocarpus fastigiatus";-19,230765;-40,756644
"Chrysophyllum gonocarpum";-19,413464;-40,904233
"Handroanthus umbellatus";-19,224364;-40,810033
"Eugenia handroi";-19,22937;-39,981268
"Trichilia emarginata";-19,233789;-40,181728
"Psidium brownianum";-19,233765;-40,181148
"Erythroxylum macrocalyx";-19,234041;-40,181844
"Matayba guianensis";-19,247167;-39,988417
"Inga cylindrica";-19,222198;-40,356239
"Eugenia ellipsoidea";-19,289629;-40,105599
"Calophyllum brasiliense";-19,481812;-41,236593
"Ocotea spectabilis";-19,433298;-40,000184
"Alatococcus siqueirae";-19,550072;-39,844491
"Piper aduncum";-19,477479;-40,82924
"Ficus arpazusa";-19,234813;-39,925132
"Coussapoa microcarpa";-19,238435;-39,979362
"Pouteria bullata";-19,245515;-39,949368
"Exellodendron gracile";-19,246652;-39,961724
"Pouteria bangii";-19,246652;-39,961724
"Campomanesia laurifolia";-19,246273;-39,961741
"Discophora guianensis";-19,246273;-39,961712
"Myrcia amazonica";-19,233714;-40,182137
"Trichilia hirta";-19,233714;-40,182137
"Macoubea guianensis";-19,233103;-40,0761
"Hirtella triandra";-19,827852;-40,614688
"Connarus nodosus";-19,420826;-40,067273
"Abarema cochliacarpos";-19,248042;-39,951637
"Coutarea hexandra";-19,463549;-40,071763
"Acanthocladus pulcherrimus";-19,420826;-40,067273
"Myrcia obversa";-19,463549;-40,071763
"Melicoccus oliviformis";-19,420799;-40,067272
"Swartzia myrtifolia";-19,463513;-40,071762
"Pouteria venosa";-19,462924;-40,167023
"Senefeldera verticillata";-19,463513;-40,071762
"Rinorea maximiliani";-19,463513;-40,071762
"Myrcia neoglabra";-19,463513;-40,071762
"Myrcia neodimorpha";-19,463513;-40,071762
"Astronium concinnum";-19,420826;-40,067273
"Copaifera langsdorffii";-19,307161;-40,084121
"Diospyros capreifolia";-19,224559;-40,347203
"Aspidosperma polyneuron";-19,194273;-40,350837
"Pseudopiptadenia warmingii";-19,194272;-40,350846
"Beilschmiedia linharensis";-19,248;-39,956194
"Licaria bahiana";-19,248;-39,956194
"Ocotea prolifera";-19,248;-39,956194
"Rudgea jasminoides";-19,851333;-40,56345
"Salacia arborea";-19,431111;-39,896111
"Ocotea lancifolia";-19,247889;-39,95575
"Licaria guianensis";-19,225778;-39,966472
"Leretia cordata";-19,237167;-39,944889
