species
Byrsonima sericea
Naucleopsis oblongifolia
Sloanea retusa
Psidium gaudichaudianum
Myrocarpus fastigiatus
Chrysophyllum gonocarpum
Handroanthus umbellatus
Eugenia handroi
Trichilia emarginata
Psidium brownianum
Erythroxylum macrocalyx
Matayba guianensis
Inga cylindrica
Eugenia ellipsoidea
Calophyllum brasiliense
Ocotea spectabilis
Alatococcus siqueirae
Piper aduncum
Ficus arpazusa
Coussapoa microcarpa
Pouteria bullata
Exellodendron gracile
Pouteria bangii
Campomanesia laurifolia
Discophora guianensis
Myrcia amazonica
Trichilia hirta
Macoubea guianensis
Hirtella triandra
Connarus nodosus
Abarema cochliacarpos
Coutarea hexandra
Acanthocladus pulcherrimus
Myrcia obversa
Melicoccus oliviformis
Swartzia myrtifolia
Pouteria venosa
Senefeldera verticillata
Rinorea maximiliani
Myrcia neoglabra
Myrcia neodimorpha
Astronium concinnum
Copaifera langsdorffii
Diospyros capreifolia
Aspidosperma polyneuron
Pseudopiptadenia warmingii
Beilschmiedia linharensis
Licaria bahiana
Ocotea prolifera
Rudgea jasminoides
Salacia arborea
Ocotea lancifolia
Licaria guianensis
Leretia cordata
Cariniana ianeirensis
Pera glabrata
Annona glabra
Swartzia acutifolia
Andira fraxinifolia
Cordia aberrans
Xylopia ochrantha
Pseudobombax majus
Eugenia pruinosa
Guarea macrophylla
Brosimum lactescens
Malouetia cestroides
Trembleya parviflora
Eugenia pruniformis
Chamaecrista ensiformis
Piptadenia paniculata
Ficus obtusifolia
Copaifera lucens
Pseudopiptadenia contorta
Swartzia oblata
Ocotea notata
Solanum cinnamomeum
Meriania tetramera
Monteverdia brasiliensis
Ocotea puberula
Nectandra membranacea
Metrodorea nigra
Pouteria microstrigosa
Handroanthus chrysotrichus
Handroanthus serratifolius
Handroanthus heptaphyllus
Huberia ovalifolia
Geissospermum laeve
Cryptocarya saligna
Brosimum glaziovii
Myrciaria delicatula
Pouteria oblanceolata
Eugenia pisiformis
Stifftia parviflora
Brosimum gaudichaudii
Siparuna reginae
Galipea laxiflora
Mollinedia longifolia
Cavanillesia umbellata
Nectandra hihua
Trichilia pallida
Mezilaurus crassiramea
Miconia calvescens
Ruprechtia laxiflora
Piptocarpha macropoda
Psychotria carthagenensis
Guatteria ferruginea
Psidium guajava
Protium brasiliense
Mabea fistulifera
Jacaranda micrantha
Hortia brasiliana
Nectandra nitidula
Jacaranda macrantha
Aegiphila verticillata
