"search.str";"lat";"lon"
"Sloanea retusa";-19,247983;-39,956185
"Psidium gaudichaudianum";-19,260807;-40,001503
"Myrocarpus fastigiatus";-19,230765;-40,756644
"Handroanthus umbellatus";-19,224364;-40,810033
"Eugenia handroi";-19,22937;-39,981268
"Trichilia emarginata";-19,233789;-40,181728
"Psidium brownianum";-19,233765;-40,181148
"Erythroxylum macrocalyx";-19,234041;-40,181844
"Eugenia ellipsoidea";-19,289629;-40,105599
"Ocotea spectabilis";-19,433298;-40,000184
"Alatococcus siqueirae";-19,550072;-39,844491
"Coussapoa microcarpa";-19,238435;-39,979362
"Pouteria bullata";-19,245515;-39,949368
"Exellodendron gracile";-19,246652;-39,961724
"Campomanesia laurifolia";-19,246273;-39,961741
"Trichilia hirta";-19,233714;-40,182137
"Connarus nodosus";-19,420826;-40,067273
"Abarema cochliacarpos";-19,248042;-39,951637
"Acanthocladus pulcherrimus";-19,420826;-40,067273
"Myrcia obversa";-19,463549;-40,071763
"Melicoccus oliviformis";-19,420799;-40,067272
"Senefeldera verticillata";-19,463513;-40,071762
"Rinorea maximiliani";-19,463513;-40,071762
"Myrcia neoglabra";-19,463513;-40,071762
"Myrcia neodimorpha";-19,463513;-40,071762
"Astronium concinnum";-19,420826;-40,067273
"Pseudopiptadenia warmingii";-19,194272;-40,350846
"Beilschmiedia linharensis";-19,248;-39,956194
"Licaria bahiana";-19,248;-39,956194
"Ocotea prolifera";-19,248;-39,956194
"Salacia arborea";-19,431111;-39,896111
"Leretia cordata";-19,237167;-39,944889
"Swartzia acutifolia";-19,2356;-40,9059
"Andira fraxinifolia";-19,221944;-39,969722
"Cordia aberrans";-19,465337;-39,931301
"Xylopia ochrantha";-19,271944;-40,125278
"Pseudobombax majus";-19,240166;-40,909435
"Eugenia pruinosa";-19,234957;-39,928967
"Malouetia cestroides";-19,002416;-40,527775
"Trembleya parviflora";-20,195252;-41,005005
"Eugenia pruniformis";-19,237125;-39,918314
"Piptadenia paniculata";-19,231514;-40,356078
"Copaifera lucens";-19,231521;-40,355127
"Pseudopiptadenia contorta";-19,231521;-40,355127
"Swartzia oblata";-19,231521;-40,355127
"Ocotea notata";-19,313428;-40,08639
"Solanum cinnamomeum";-20,196956;-41,003745
"Meriania tetramera";-20,196956;-41,003745
"Monteverdia brasiliensis";-19,242374;-39,965961
"Metrodorea nigra";-19,231011;-40,355684
"Pouteria microstrigosa";-19,224559;-40,347203
"Huberia ovalifolia";-19,2277;-39,962318
"Cryptocarya saligna";-19,232308;-39,929142
"Brosimum glaziovii";-19,233041;-39,928966
"Eugenia pisiformis";-19,244639;-39,973306
"Stifftia parviflora";-19,624559;-41,025355
"Galipea laxiflora";-19,224406;-40,319884
"Mollinedia longifolia";-19,224406;-40,319884
"Piptocarpha macropoda";-19,224559;-40,347203
"Psychotria carthagenensis";-19,433583;-40,072778
"Guatteria ferruginea";-19,937;-40,6834
"Protium brasiliense";-20,25;-43,5
"Jacaranda micrantha";-19,91666;-40,6
"Nectandra nitidula";-20,092833;-43,499083
"Jacaranda macrantha";-19,66666;-41,83333
"Handroanthus arianeae";-19,41666;-40,06666
"Ocotea nitida";-19,75;-42,61666
"Cryptocarya mandioccana";-20,366944;-43,464556
"Guatteria sellowiana";-20,48333;-43,61666
"Ocotea tabacifolia";-20,12361;-43,47027
"Endlicheria glomerata";-20,234972;-43,412056
"Carpotroche brasiliensis";-19,73333;-42,6
"Kielmeyera rupestris";-19,23;-40,88
"Erythroxylum subrotundum";-20,2485150020785;-42,8957443505297
"Miconia michelangeliana";-19,79982;-40,53703
"Psidium rufum";-18,4699;-43,3495
"Huberia espiritosantensis";-19,2308;-40,8764
"Hyptidendron asperrimum";-20,670722780339;-42,5207192418905
"Senna reniformis";-20,0785114824394;-43,4076788656634
"Miconia paniculata";-19,8038;-40,76863
"Aegiphila fluminensis";-19,3949002236543;-40,071853011446
"Melanopsidium nigrum";-19,3949002236543;-40,071853011446
"Hornschuchia bryotrophe";-19,3156;-40,1564
"Licania kunthiana";-19,3949002236543;-40,071853011446
"Cariniana parvifolia";-19,38;-40,07
"Leandra umbellata";-19,890197;-43,364883
"Cariniana legalis";-19,42;-40,68
"Accara elegans";-20,44906;-43,53175
"Couratari asterophora";-19,42;-40,07
"Cupania furfuracea";-19,3949002236543;-40,071853011446
"Pavonia makoyana";-19,8967;-40,6031
"Kuhlmanniodendron apterocarpum";-19,3949002236543;-40,071853011446
"Solanum psilophyllum";-20,14547;-43,41344
"Vitex rufescens";-18,4489;-43,351
"Chamaecrista aspleniifolia";-19,3949002236543;-40,071853011446
"Chrysophyllum splendens";-19,5056;-39,8875
"Gaylussacia oleifolia";-18,87;-43,4
"Symplocos microstyla";-20,135722;-43,456972
"Eugenia candolleana";-19,67;-41,83
"Myrcia splendens";-18,4489;-43,351
"Lacistema pubescens";-20,761343;-42,868031
"Solanum sellowianum";-18,4489;-43,351
"Manihot pilosa";-18,5;-43,33
"Tabernaemontana laeta";-19,3949002236543;-40,071853011446
"Brasiliocroton mamoninha";-19,4169007116929;-40,5416847206305
"Huberia nettoana";-20,408298;-41,837991
"Lecythis marcgraaviana";-19,42;-40,07
"Guatteria villosissima";-18,87;-43,4
"Eschweilera ovata";-19,35;-40,08
"Vismia brasiliensis";-20,761343;-42,868031
"Pilocarpus grandiflorus";-19,3949002236543;-40,071853011446
"Simira glaziovii";-19,3949002236543;-40,071853011446
"Tontelea leptophylla";-19,67;-41,83
"Virola gardneri";-19,67;-41,83
"Hydrogaster trinervis";-19,28;-40,2
