spp
Sloanea retusa
Psidium gaudichaudianum
Myrocarpus fastigiatus
Handroanthus umbellatus
Eugenia handroi
Trichilia emarginata
Psidium brownianum
Erythroxylum macrocalyx
Eugenia ellipsoidea
Ocotea spectabilis
Alatococcus siqueirae
Coussapoa microcarpa
Pouteria bullata
Exellodendron gracile
Campomanesia laurifolia
Trichilia hirta
Connarus nodosus
Abarema cochliacarpos
Acanthocladus pulcherrimus
Myrcia obversa
Melicoccus oliviformis
Senefeldera verticillata
Rinorea maximiliani
Myrcia neoglabra
Myrcia neodimorpha
Astronium concinnum
Pseudopiptadenia warmingii
Beilschmiedia linharensis
Licaria bahiana
Ocotea prolifera
Salacia arborea
Leretia cordata
Swartzia acutifolia
Andira fraxinifolia
Cordia aberrans
Xylopia ochrantha
Pseudobombax majus
Eugenia pruinosa
Malouetia cestroides
Trembleya parviflora
Eugenia pruniformis
Piptadenia paniculata
Copaifera lucens
Pseudopiptadenia contorta
Swartzia oblata
Ocotea notata
Solanum cinnamomeum
Meriania tetramera
Monteverdia brasiliensis
Metrodorea nigra
Pouteria microstrigosa
Huberia ovalifolia
Cryptocarya saligna
Brosimum glaziovii
Eugenia pisiformis
Stifftia parviflora
Galipea laxiflora
Mollinedia longifolia
Piptocarpha macropoda
Psychotria carthagenensis
Guatteria ferruginea
Protium brasiliense
Jacaranda micrantha
Nectandra nitidula
Jacaranda macrantha
Handroanthus arianeae
Ocotea nitida
Cryptocarya mandioccana
Guatteria sellowiana
Ocotea tabacifolia
Endlicheria glomerata
Carpotroche brasiliensis
Kielmeyera rupestris
Erythroxylum subrotundum
Miconia michelangeliana
Psidium rufum
Huberia espiritosantensis
Hyptidendron asperrimum
Senna reniformis
Miconia paniculata
Aegiphila fluminensis
Melanopsidium nigrum
Hornschuchia bryotrophe
Licania kunthiana
Cariniana parvifolia
Leandra umbellata
Cariniana legalis
Accara elegans
Couratari asterophora
Cupania furfuracea
Pavonia makoyana
Kuhlmanniodendron apterocarpum
Solanum psilophyllum
Vitex rufescens
Chamaecrista aspleniifolia
Chrysophyllum splendens
Gaylussacia oleifolia
Symplocos microstyla
Eugenia candolleana
Myrcia splendens
Lacistema pubescens
Solanum sellowianum
Manihot pilosa
Tabernaemontana laeta
Brasiliocroton mamoninha
Huberia nettoana
Lecythis marcgraaviana
Guatteria villosissima
Eschweilera ovata
Vismia brasiliensis
Pilocarpus grandiflorus
Simira glaziovii
Tontelea leptophylla
Virola gardneri
Hydrogaster trinervis
Hymenolobium janeirense
Myrcia venulosa
Angostura bracteata
Pilocarpus giganteus
Trichilia silvatica
Qualea megalocarpa
Leandra cogniauxii
Vitex polygama
Solanum leptostachys
Stephanopodium engleri
Ternstroemia brasiliensis
Micropholis gnaphaloclados
Myrcia subcordata
Callisthene minor
Vochysia emarginata
Myrcia eriocalyx
Myrcia nobilis
Eugenia espinhacensis
Diplotropis ferruginea
Eugenia excoriata
Psidium grazielae
Eremanthus incanus
Myrcia hebepetala
Eugenia nutans
Siphoneugena densiflora
Myrcia spectabilis
Miconia latecrenata
Eremanthus erythropappus
Trembleya pentagona
Ocotea divaricata
Peritassa flaviflora
Monteverdia obtusifolia
Ocotea odorifera
Monteverdia gonoclada
Pera heteranthera
Monteverdia longifolia
Rhodostemonodaphne macrocalyx
Neoraputia magnifica
Erythroxylum passerinum
Solanum melissarum
Lecythis lurida
Ampelocera glabra
Vismia micrantha
Vitex sellowiana
Monteverdia radlkoferiana
Tetrastylidium grandifolium
Lecythis lanceolata
Ladenbergia hexandra
Galipea jasminiflora
Guatteria australis
Couepia carautae
Dalbergia foliolosa
Jacaranda obovata
Lychnophora sellowii
Myrcia tenuifolia
Guarea blanchetii
Eugenia dichroma
Wunderlichia mirabilis
Campomanesia simulans
Eugenia tenuipedunculata
Myrcia obovata
Myrcia floridissima
Eugenia cymatodes
Myrcia multipunctata
Myrcia pubescens
Eugenia handroana
Eugenia pistaciifolia
Myrcia mischophylla
Myrciaria glanduliflora
Eugenia itajurensis
Pimenta pseudocaryophyllus
Myrcia subsericea
Myrcia crocea
Eugenia robustovenosa
Myrceugenia alpigena
Myrcia montana
Siphoneugena delicata
Myrcia subavenia
Eugenia modesta
Psidium myrtoides
Psidium oblongatum
Eugenia sonderiana
Myrcia concisa
Eugenia laruotteana
Pseudobombax grandiflorum
Myrcia eumecephylla
Diospyros apeibacarpos
Jacaranda pulcherrima
Guatteria pogonopus
Myrcia teresensis
Psychotria cupularis
Ravenia infelix
Funifera grandifolia
Andradea floribunda
Psychotria subspathulata
Leandra fallacissima
Coussarea leptopus
Cordia taguahyensis
Tabebuia elliptica
Lychnophora ericoides
Myrcia lasiantha
Abarema filamentosa
Erythrina verna
Joannesia princeps
Handroanthus vellosoi
Tabernaemontana salzmannii
Guatteria pohliana
Cecropia glaziovii
Cecropia hololeuca
Solanum bullatum
Ilex conocarpa
Xylopia decorticans
Duguetia chrysocarpa
Emmotum nitens
Miconia chartacea
Caryocar edule
Solanum warmingii
Miconia polyandra
Coussapoa floccosa
Paratecoma peroba
Chamaecrista dentata
Neoraputia alba
Diatenopteryx grazielae
Myrcia amplexicaulis
Sorocea guilleminiana
Hirtella bahiensis
Matayba marginata
Paradrypetes ilicifolia
Handroanthus cristatus
Miconia sellowiana
Trichilia pseudostipularis
Protium warmingianum
Hololepis pedunculata
Melicoccus espiritosantensis
Myrcia ilheosensis
Grazielodendron rio-docensis
Miconia corallina
Dalbergia glaucescens
Deguelia hatschbachii
Solanum sooretamum
Myrcia rufipes
Vataireopsis araroba
Machaerium caratinganum
Machaerium ruddianum
Lychnophora pinaster
Poecilanthe falcata
Myrcia vellozoi
Myrcia variabilis
Myrcia lutescens
Eugenia florida
Myrcia vauthiereana
Myrcia hartwegiana
Solanum cernuum
Vochysia thyrsoidea
Siparuna brasiliensis
Euplassa rufa
Pleroma candolleanum
Trembleya laniflora
Eremanthus crotonoides
Cyathea dichromatolepis
Cyathea corcovadensis
Miconia longicuspis
Inga sessilis
Hirtella floribunda
Ocotea nutans
Ilex euryaeformis
Vismia parviflora
Miconia valtheri
