id;spp;countryCode;stateProvince;locality;lon;lat
386;Acalypha villosa ;EC;El Oro;Cuenca del RÃ­o Jubones.  Bosque Protector Casacay.  Bosque semideciduo piemontano.;-79.7085;-3.322
505;Acalypha villosa ;BO;Santa Cruz;8 km. SSE of Cotoca on road to Paurito.;-62.966667;-17.816667
506;Acalypha villosa ;BR;Bahia;Ãrea do CEPEC (Centro de Pesquisas do Cacau), km 22 da rodovia Ilheus/Itabuna (BR 415). Quadra D (Parque ZoobotÃ¢nico). RegiÃ£o de Mata HigrÃ³fila Sul Baiana.;-39.233333;-14.783333
507;Acalypha villosa ;BO;Santa Cruz;"Along Brecha 5, 1 km E of highway from Santa Cruz to AbapÃ³ (at """"""""km 38"""""""").";-63.183333;-18.066667
508;Acalypha villosa ;BO;Santa Cruz;At quebrada, 10.5 km SSE of center of Cotoca, 9.5 km. SSE of turnoff from highway bypass at Cotoca on dirt road to Paurito.;-62.958333;-17.833333
509;Acalypha villosa ;VE;Zulia;Along RÃ­o Socuyo, below Corpozulia Campamento Socuyo, between Cerro La Culebra and Cerro Caracara.;-72.316667;10.916667
511;Acalypha villosa ;VE;Zulia;Sierra de la Corbata. 3-4 km NNE of Parcelamiento CachirÃ­.;-72.25;10.866667
512;Acalypha villosa ;BO;Santa Cruz;12 km. E of center of Santa Cruz on road to Cotoca.;-63.066667;-17.766667
513;Acalypha villosa ;VE;Tachira;C. 12 km SE of Agua Dulce.;-72.08;7.36
514;Acalypha villosa ;BO;Santa Cruz;"Ca. 5 km SSW of Cotoca, vic. clay pits and brick works near Flat, near """"""""Santa Rosa de Provote"""""""".";-63;-17.783333
552;Acalypha villosa ;CO;Norte de Santander;Vereda Buenavista, en cerro parte superior del pueblo;-72.652222;7.613333
587;Acalypha villosa ;BR;GoiÃ¡s;Fazenda OrÃ©ades, RegiÃ£o da Chapada dos Veadeiros - NÃ¡iades;-47.918611;-14.218056
1539;Acalypha villosa ;EC;Esmeraldas;Rio Santiago at Concepcion;-78.816667;1.05
1560;Acalypha villosa ;VE;Barinas;State of Barinas. Tioopore forest reserve.;-70.75;8.25
1578;Acalypha villosa ;VE;Barinas;State of Barinas. Tioopore forest reserve.;-70.75;8.25
1581;Acalypha villosa ;VE;Barinas;State of Barinas. Tioopore forest reserve.;-70.75;8.25
1867;Acalypha villosa ;VE;Barinas;State of Barinas. Tioopore forest reserve.;-70.75;8.25
2007;Acalypha villosa ;EC;Esmeraldas;Rio Cayapas, Cooperativa la Concordia, half hour upstream from Borbon;-79;1.05
2303;Acalypha villosa ;BR;EspÃ­rito Santo;Apeninos;-41.151389;-20.586389
4374;Acalypha villosa ;VE;TÃ¡chira;Rio Negro. 0.5 to 2 Km from main highway, road adjacent to river. Secondary forest on slope above river.;-72.166667;7.583333
5594;Acalypha villosa ;BO;Santa Cruz;Vic. Balneario ItapemÃ­, 4.5 km (by air) SSE of plaza central of AscenciÃ³n de Guarayos.;-63.1725;-15.925833
5706;Acalypha villosa ;BO;Santa Cruz;Estancia Las Delicias, ca. 5 km de ConcepciÃ³n.;-62.05;-16.483333
6392;Acalypha villosa ;CO;Meta;RÃ­o Duda, Sierra Chamusa, Centro de Investigaciones EcolÃ³gicas La Macarena.;-74.166667;2.666667
6393;Acalypha villosa ;CO;Meta;RÃ­o Duda, Sierra Chamusa, Centro de Investigaciones EcolÃ³gicas La Macarena.;-74.166667;2.666667
6570;Acalypha villosa ;CO;Valle del Cauca;DRMI RUT Nativos, Vereda La Chica;-76.115833;4.586111
6868;Acalypha villosa ;CO;Magdalena;Along indian trail to Pueblito, Parque Nacional Tayrona.;-73.97;11.32
6935;Acalypha villosa ;CO;Norte de santander;Corregimiento de San Pedro, carretera entre las minas Los Compinches y El Chipio.;-72.521714;7.837107
7654;Acalypha villosa ;BR;Bahia;Centro de Pesquisas do Cacau, CEPLAC, CEPEC;-39.227366;-14.771874
7766;Acalypha villosa ;BR;Bahia;Centro de Pesquisas do Cacau, CEPLAC, CEPEC;-39.227366;-14.771874
7781;Acalypha villosa ;BR;Bahia;Quadra D, CEPEC;-39.22095;-14.77397
8772;Acalypha villosa ;BO;Santa Cruz;"Ca. 5 km SSW of Cotoca, vic. clay pits and brick works near Flat, near """"""""Santa Rosa de Provote"""""""".";-63;-17.78
9275;Acalypha villosa ;BR;Bahia;Rodovia Jussari-Plamira, Entrada ca 7.5 km de Jussari, FazendaTeimoso, RPPN Serra do Teimoso.;-39.5286;-15.1581
9944;Acalypha villosa ;BR;Bahia;IlhÃ©us, CEPEC;-39.227366;-14.771874
12695;Acalypha villosa ;GY;Potaro-Siparuni;Approximately 1 km N of Kato. Along trail to Paramakatoi;-59.92;4.67
12884;Acalypha villosa ;BR;Mato Grosso;45 km SE of Pontes e Lacerda on rd to CÃ¡ceres (BR 174);-59.03;-15.47
12898;Acalypha villosa ;BR;Bahia;Prox. a ponte sobre o Rio Mucuri na Rod. BR 101. Folha SE - 24 (18-40d). Terreno baldio prÃ³ximo a plantaÃ§ao e na mata perturbada;-39.89346;-18.098499
12904;Acalypha villosa ;BR;RondÃ´nia;Ca. 5 Km. NW of Costa Marques.;-64.233333;-12.416667
12940;Acalypha villosa ;BR;Bahia;Ca. 7.5 km da estrada de JussarÃ­ para Palmira, ramal Ã  esq. Acesso para a sede da Fazenda Teimoso. RPPN Serra do Teimoso.;-39.5286;-15.1581
14320;Acalypha villosa ;CO;Antioquia;Vereda Venados, Parque Nacional Natural Las OrquÃ­deas. Margen izq. rÃ­o Venados (Garrucha y alto Bonito);-76.32;6.53
14418;Acalypha villosa ;BO;Santa Cruz;Along road from La Mora to San JoaquÃ­n, 3.5 km E of La Mora and turnoff from highway from Santa Cruz to AbapÃ³.;-63.18;-18.47
14715;Acalypha villosa ;BR;Bahia;IlhÃ©us. CEPEC;-39.227366;-14.771874
14773;Acalypha villosa ;EC;Esmeraldas;RÃ­o Cayapa. Zapallo Grande. Farmland close to the village;-78.9;0.8
14883;Acalypha villosa ;BR;Bahia;CEPEC. PlantaÃ§ao de cacau suja;-39.227366;-14.771874
15918;Acalypha villosa ;BR;GoiÃ¡s;ca. 17 km S. of NiquelÃ¢ndia;-48.45;-14.60365
16268;Acalypha villosa ;BO;Santa Cruz;Jardin Botanico de Santa Cruz.;-63.07;-17.77
16312;Acalypha villosa ;VE;Barinas;15 km N of Barinas, 5 km NW of El Pescado on road from La Yuca;-70.23;8.78
17143;Acalypha villosa ;BR;Bahia;Grounds of CEPEC (km 22 of road BR-415, from IlhÃ©us to Itabuna);-39.227366;-14.771874
19146;Acalypha villosa ;CO;Risaralda;En la via San Antonio de ChamÃ­ y MistratÃ³, quebrada Sutu.;-75.884283;5.375597
19147;Acalypha villosa ;CO;Antioquia;Km 24 of Road BolombolÃ³ - Anza (24 km before AnzÃ¡).;-75.866667;6.15
19148;Acalypha villosa ;CO;QuindÃ­o;Vrda. Palermo, alrededores beneficiadero de la Hda. Los Samanes.;-75.828611;4.619444
19149;Acalypha villosa ;VE;BolÃ­var;Cerca del pueblo Panare de Corozal, 6 kilÃ³metros de Maniapure hacia Caicara.;-66.5;6.916667
19153;Acalypha villosa ;CO;Risaralda;Pueblo Rico, corregimiento de Santa Cecilia, entre el rio Aguita y Quebrada Piunda.;-76.078714;5.414778
19170;Acalypha villosa ;CO;Magdalena;CaÃ±averal, alrededores de la quebrada.;-73.929068;11.305292
19171;Acalypha villosa ;CO;Magdalena;Arrecifes, cerca de la quebrada San Lucas.;-73.952616;11.315858
19185;Acalypha villosa ;CO;;Above Rio Dubasa 1 km. upstream of Catru, ChocÃ³.;-77.030274;5.340367
19186;Acalypha villosa ;CO;La guajira;SerranÃ­a de Macuira, cerro Yauanauas.;-71.336817;12.17472
19187;Acalypha villosa ;CO;ChocÃ³;On first level ground above Rio Dubasa, 1 km upstream of Catru.;-77.030274;5.340367
19188;Acalypha villosa ;CO;Magdalena;CaÃ±averal, alrededores de la quebrada.;-73.929068;11.305292
19313;Acalypha villosa ;CO;Cundinamarca;Vereda Periquitos, campamento 1 a orillas del rÃ­o Gazamumo, subiendo por el rÃ­o 1 km desde el campamento.;-73.4215;4.517361
19639;Acalypha villosa ;CO;;Above Rio Dubasa 1 km. upstream of Catru, ChocÃ³.;-77.030274;5.340367
19640;Acalypha villosa ;CO;Magdalena;In forest along indian trail to Pueblito, Parque Nacional Tayrona.;-73.966667;11.316667
19641;Acalypha villosa ;CO;ChocÃ³;On first level ground above Rio Dubasa, 1 km upstream of Catru.;-77.030274;5.340367
