spp
Acnistus arborescens
Albizia niopoides
Alchornea glandulosa
Alchornea triplinervia
Anadenanthera peregrina
Apuleia leiocarpa
Balfourodendron riedelianum
Bixa orellana
Cajanus cajan
Canavalia ensiformis
Carica papaya
Cariniana estrellensis
Cedrela fissillis
Centrolobium robustum
Citharexylum myrianthum
Clitoria fairchildiana
Copaifera langsdorffii
Cordia superba
Cordia trichotoma
Croton floribundus
Croton urucurana
Dalbergia nigra
Enterolobium contortisiliquum
Genipa americana
Guazuma ulmifolia
Handroanthus heptaphyllus
Handroanthus impetiginosus
Handroanthus serratifolius
Hymenaea courbaril
Inga marginata
Inga vera
Jenipa americana
Joannesia princeps
Lafoensia glyptocarpa
Lecythis pisonis
Maclura tinctoria
Mangifera indica
Morus nigra
Musa x paradisíaca
Myrsine guianensis
Panicum maximum cv. Mombaça
Paubrasilia echinata
Peltophorum dubium
Pennisetum purpureum
Persea americana
Piptadenia gonoacrantha
Plathymenia foliolosa
Pouteria caimito
Pterogyne nitens
Schinus terebenthifolius
Senegalia polyphylla
Senna multijuga
Solanum granulosoleprosum
Solanum lycocarpum
Tibouchina estrellensis
Tihonia diversifolia
Zea maiz
Zeyheria tuberculosa
