spp
Alchornea glandulosa
Alchornea triplinervia
Anadenanthera peregrina
Apuleia leiocarpa
Balfourodendron riedelianum
Bixa orellana
Cariniana estrellensis
Cariniana legalis
Citharexylum myrianthum
Copaifera langsdorffii
Cordia superba
Cordia trichotoma
Croton floribundus
Croton urucurana
Dalbergia nigra
Enterolobium contortisiliquum
Eremanthus erythropappus
Genipa americana
Guazuma ulmifolia
Handroanthus heptaphyllus
Handroanthus serratifolius
Hymenaea courbaril
Joannesia princeps
Lecythis pisonis
Maclura tinctoria
Myrsine guianensis
Peltophorum dubium
Pterogyne nitens
Schizolobium parahyba
Senegalia polyphylla
Senna multijuga
Solanum granulosoleprosum
Solanum lycocarpum
Zeyheria tuberculosa
Acnistus arborescens
Albizia niopoides
Cedrela fissilis
Centrolobium robustum
Clitoria fairchildiana
Handroanthus impetiginosus
Inga marginata
Inga vera
Lafoensia glyptocarpa
Paubrasilia echinata
Piptadenia gonoacantha
Plathymenia reticulata
Pouteria caimito
Schinus terebinthifolia
Tibouchina estrellensis
