"","spp","countryCode","stateProvince","locality","lon","lat"
"1","Alchornea triplinervia ","BR","Rio de Janeiro","Jaconé. Fragmento de Floresta inundável na rua 86. Sendo suprimido constantemente por meio de aterramentos com fins imobiliários.",-42.601389,-22.928611
"2","Citharexylum myrianthum ","BR","Bahia","Povoado de Barra do Vento. Próximo à torre da Embratel.",-39.594444,-11.633056
"3","Myrsine guianensis ","BR","São Paulo","",-48.482639,-22.886889
"4","Cariniana estrellensis ","BR","Espírito Santo","APA do Mestre Álvaro. Trilha de Pitanga.",-40.304167,-20.183056
"5","Lecythis pisonis ","BR","Espírito Santo","APA do Mestre Álvaro. Trilha de Pitanga.",-40.304167,-20.183056
"6","Albizia niopoides ","BR","Paraná","Base de Pesquisa do Núpelia, Margem direita do Córrego Caracú.",-53.261972,-22.768667
"7","Albizia niopoides ","BR","Mato Grosso do Sul","Póximo a Balsa Batayporã/MS a Porto São José/PR, Margem direita do rio Paraná.",-53.188583,-22.719222
"8","Albizia niopoides ","BR","Paraná","Porto de Areia Cristo Rei, Área de reflorestamento.",-53.17225,-22.725083
"9","Albizia niopoides ","BR","Paraná","Porto de areia Cristo Rei., Margem esquerda do rio Paraná.",-53.175167,-22.715306
"10","Albizia niopoides ","BR","Paraná","Próximo a Chácara Bel Car, Margem esquerda do rio Paraná.",-53.293361,-22.781222
"11","Enterolobium contortisiliquum ","BR","Paraná","Fazenda Praia Grande, Margem esquerda do rio Paraná.",-53.306694,-22.784528
"12","Albizia niopoides ","BR","Mato Grosso do Sul","Margem direita do rio Paraná.",-53.212806,-22.731083
"13","Albizia niopoides ","BR","Paraná","Condomínio Bela Vista, Margem esquerda do rio Paraná, proximo ao Distrito de Porto São José.",-53.19,-22.728083
"14","Peltophorum dubium ","BR","Pr","Nascente Piava (Deva)",-53.320167,-23.695056
"15","Inga vera ","BR","Pr","Nascente Piava (Deva)",-53.320167,-23.695056
"16","Balfourodendron riedelianum ","BR","Pr","Nascente Piava (Deva)",-53.320167,-23.695056
"17","Croton floribundus ","BR","Minas Gerais","Fazenda Faroeste, Margem direita do Rio São Miguel.",-45.506131,-20.260292
"18","Genipa americana ","BR","Mato Grosso do Sul","Parque das Nações indígenas.",-54.5775,-20.457222
"19","Solanum lycocarpum ","BR","Goiás","Comunidade do Cedro - Capela",-52.985956,-17.9821
"20","Myrsine guianensis ","BR","","Jaqueira, RPPN Frei Caneca, Borda da Mata do Quengo",-35.843883,-8.713333
"21","Genipa americana ","BO","Santa Cruz","",-63.473611,-17.672222
"22","Genipa americana ","EC","Esmeraldas","",-79.476389,0.347222
"23","Genipa americana ","EC","Sucumbíos","",-76.151944,-0.097778
"24","Genipa americana ","BO","La Paz","",-68.688889,-14.600278
"25","Genipa americana ","GY","Upper Takutu-Upper Essequibo","",-59.516667,2.816667
"26","Genipa americana ","BO","Santa Cruz","",-63.565833,-17.111389
"27","Genipa americana ","EC","Guayas","",-80.01347,-2.12347
"28","Genipa americana ","BO","Santa Cruz","",-63.618889,-18.744167
"29","Genipa americana ","GY","Upper Takutu-Upper Essequibo","",-59.516667,2.816667
"30","Genipa americana ","BO","Santa Cruz","",-63.666667,-17.533333
"31","Genipa americana ","EC","Pichincha","",-78.7811,-0.15304
"32","Genipa americana ","PE","Amazonas","",-78.316944,-4.866667
"33","Genipa americana ","BO","El Beni","",-67.466667,-14.383333
"34","Genipa americana ","BR","Pará","",-55,-2.516667
"35","Genipa americana ","BO","El Beni","",-66.616667,-14.5
"36","Genipa americana ","BO","Santa Cruz","",-61.85,-16.866667
"37","Genipa americana ","BO","El Beni","",-66.616667,-14.5
"38","Genipa americana ","BO","Santa Cruz","",-63.666667,-17.533333
"39","Genipa americana ","EC","Pichincha","",-79.219722,0.312222
"40","Genipa americana ","BO","La Paz","",-68.565833,-14.325
"41","Albizia niopoides ","EC","Orellana","",-76.45,-0.683333
"42","Genipa americana ","PE","Madre de Dios","",-69.05,-12.557222
"43","Genipa americana ","EC","Los Ríos","",-79.333333,-1.65
"44","Genipa americana ","PE","Loreto","",-73.416667,-3.8
"45","Genipa americana ","BO","Santa Cruz","",-62.75,-14.75
"46","Genipa americana ","PE","Loreto","",-73.5,-4.5
"47","Genipa americana ","CO","Antioquia","",-74.975833,5.989722
"48","Genipa americana ","PE","Cajamarca","",-78.684722,-5.321111
"49","Genipa americana ","PE","Cajamarca","",-78.75,-5.25
"50","Genipa americana ","PY","Central","",-57.5,-25.666667
"51","Genipa americana ","BO","La Paz","",-67.766667,-14.45
"52","Genipa americana ","PE","Amazonas","",-78.338056,-5.056667
"53","Genipa americana ","PE","Cajamarca","",-78.75,-5.25
"54","Genipa americana ","BO","La Paz","",-68.083333,-14.233333
"55","Genipa americana ","PE","Pasco","",-75.164444,-10.163611
"56","Copaifera langsdorffii ","BR","Minas Gerais","Serra do Lenheiro",-44.298083,-21.141306
"57","Panicum maximum ","EC","","4 km W of Cata/5/ o, at Hac. Monterey.",-79.38333,-3.96667
"58","Guazuma ulmifolia ","CO","","Dpt. Cauca, Valle del Rio Patia, Municip. Patia. West of the finca UPESCA - (unie pesca y caza).  Pasture on the margin of the Rio Patia.",-77.10139,2.0386
"59","Cordia superba ","BR","Piauí","Parque Nacional da Serra das Confusôes",-43.463333,-8.959722
"60","Alchornea triplinervia ","PY","","Departamento Cordillera, Tobatí, en el cerro, mirador del pueblo",-57.06,-25.25
"61","Cajanus cajan ","PY","","Atyrá. Departamento Cordillera",-57.16,-25.25
"62","Genipa americana ","PE","","Perú. Departament de San Martín. Districte de Chazuta. Chazuta",-76.13,-6.57
