"","spp","lon","lat"
"1","Croton floribundus ",-39.16755,-14.519017
"2","Croton urucurana ",-44.983867,-3.201867
"3","Joannesia princeps ",-40.443889,-18.776944
"4","Croton floribundus ",-39.16755,-14.519017
"5","Croton urucurana ",-40.043217,-19.117957
"6","Croton urucurana ",-51.766667,-20.983333
"7","Alchornea triplinervia ",-46.286111,-23.769444
"8","Joannesia princeps ",-40.426111,-17.138056
"9","Croton urucurana ",-50.116667,-15.9
"10","Alchornea glandulosa ",-49.634444,-23.231389
"11","Croton floribundus ",-39.041389,-14.913611
"12","Croton floribundus ",-40.109167,-13.944722
"13","Joannesia princeps ",-40.426111,-17.138056
"14","Alchornea triplinervia ",-47.850833,-24.879444
"15","Croton floribundus ",-39.341667,-15.173611
"16","Alchornea triplinervia ",-41.083611,-20.516111
"17","Croton urucurana ",-49.571667,-16.1625
"18","Croton urucurana ",-46.987778,-13.960833
"19","Croton floribundus ",-40.105278,-14.421111
"20","Alchornea glandulosa ",-48.05,-15.866667
"21","Croton floribundus ",-51.233333,-23.366667
"22","Croton urucurana ",-43.937222,-22.696944
"23","Croton floribundus ",-46.61885,-23.638183
"24","Croton floribundus ",-44.750433,-22.409617
"25","Croton urucurana ",-57.685718,-28.434517
"26","Croton urucurana ",-47.053889,-11.567778
"27","Croton urucurana ",-47.466667,-15.516667
"28","Alchornea glandulosa ",-46.286111,-23.769444
"29","Croton floribundus ",-40.58921,-20.042982
"30","Croton urucurana ",-55.34246,-20.002672
"31","Croton urucurana ",-52.462222,-14.655278
"32","Croton urucurana ",-45.669167,-20.256389
"33","Alchornea triplinervia ",-55.584967,-27.274267
"34","Croton urucurana ",-56.85,-15.166667
"35","Croton urucurana ",-43.635556,-19.348056
"36","Alchornea triplinervia ",-48.849167,-15.802222
"37","Alchornea triplinervia ",-42.916667,-16.5
"38","Inga marginata ",-44.566667,-22.25
"39","Peltophorum dubium ",-52.817778,-24.823056
"40","Cordia trichotoma ",-52.826556,-24.922
"41","Inga marginata ",-44.566667,-22.25
"42","Piptadenia gonoacantha ",-44.610556,-22.451944
"43","Citharexylum myrianthum ",-49.425278,-28.598889
"44","Alchornea glandulosa ",-49.351389,-28.740833
"45","Paubrasilia echinata ",-49.006667,-26.134722
"46","Schinus terebinthifolia ",-40.965556,-21.139167
"47","Anadenanthera peregrina ",-53.655556,-20.648889
"48","Maclura tinctoria ",-56.765278,-20.670833
"49","Balfourodendron riedelianum ",-56.320833,-20.158611
"50","Enterolobium contortisiliquum ",-57.566667,-19.1675
"51","Myrsine guianensis ",-56.590555,-21.141944
"52","Enterolobium contortisiliquum ",-57.688055,-21.701111
"53","Inga vera ",-56.983333,-19.576667
"54","Genipa americana ",-57.013889,-19.575
"55","Handroanthus heptaphyllus ",-57.577778,-21.808333
"56","Enterolobium contortisiliquum ",-51.943333,-21.191389
"57","Copaifera langsdorffii ",-54.553056,-20.435555
"58","Anadenanthera peregrina ",-54.600833,-20.348333
"59","Albizia niopoides ",-51.620556,-20.872778
"60","Genipa americana ",-57,-19.576944
"61","Hymenaea courbaril ",-55.490278,-20.461667
"62","Handroanthus heptaphyllus ",-57.833333,-22.060556
"63","Inga vera ",-49.178056,-27.983889
"64","Alchornea triplinervia ",-52.994444,-24.540278
"65","Albizia niopoides ",-53.257275,-22.765319
"66","Piptadenia gonoacantha ",-47.951667,-15.892222
"67","Alchornea triplinervia ",-41.321667,-12.819722
"68","Inga marginata ",-49.761389,-29.379167
"69","Genipa americana ",-74.16667,2.6667
"70","Alchornea triplinervia ",-75.684222,1.875278
"71","Pouteria caimito ",-71.020833,0.013139
"72","Inga marginata ",-72.071139,1.319278
"73","Myrsine guianensis ",-73.896333,3.101889
"74","Myrsine guianensis ",-73.76806,2.25444
"75","Inga marginata ",-71.87778,-0.79166
"76","Inga vera ",-72.653333,1.957222
"77","Alchornea glandulosa ",-76.699139,1.209778
"78","Genipa americana ",-70.958778,0.142278
"79","Alchornea glandulosa ",-76.698722,1.210889
"80","Alchornea glandulosa ",-75.903,1.716806
"81","Apuleia leiocarpa ",-69.08333,5.21667
"82","Pouteria caimito ",-75.606383,1.620633
"83","Alchornea glandulosa ",-72.04972,-0.7468
"84","Genipa americana ",-71.08311,-1.09887
"85","Pouteria caimito ",-71.0879,-1.09775
"86","Genipa americana ",-72.3,-0.65277
"87","Alchornea triplinervia ",-70.035,-4.098611
"88","Lecythis pisonis ",-72.40028,-0.59138
"89","Hymenaea courbaril ",-72.686197,2.452603
"90","Maclura tinctoria ",-73.91667,3.28333
"91","Genipa americana ",-70.21514,5.60469
"92","Alchornea triplinervia ",-75.941111,1.247222
"93","Bixa orellana ",-72.82568,2.55212
"94","Myrsine guianensis ",-73.896333,3.101889
"95","Myrsine guianensis ",-76.603833,1.105833
"96","Myrsine guianensis ",-76.613167,1.102167
"97","Genipa americana ",-70.944722,0.039861
"98","Genipa americana ",-72.795556,-1.455833
"99","Genipa americana ",-70.334719,-1.457167
"100","Alchornea glandulosa ",-76.354325,1.503361
"101","Pouteria caimito ",-72.37056,-0.59444
