"spp","lon","lat","speciesStatus","species","check_ok"
"Croton floribundus",-39.16755,-14.519017,"possibly_ok","Croton floribundus","ok"
"Croton urucurana",-44.983867,-3.201867,"possibly_ok","Croton urucurana","ok"
"Joannesia princeps",-40.443889,-18.776944,"possibly_ok","Joannesia princeps","ok"
"Croton floribundus",-39.16755,-14.519017,"possibly_ok","Croton floribundus","ok"
"Croton urucurana",-40.043217,-19.117957,"possibly_ok","Croton urucurana","ok"
"Croton urucurana",-51.766667,-20.983333,"possibly_ok","Croton urucurana","ok"
"Alchornea triplinervia",-46.286111,-23.769444,"possibly_ok","Alchornea triplinervia","ok"
"Joannesia princeps",-40.426111,-17.138056,"possibly_ok","Joannesia princeps","ok"
"Croton urucurana",-50.116667,-15.9,"possibly_ok","Croton urucurana","ok"
"Alchornea glandulosa",-49.634444,-23.231389,"possibly_ok","Alchornea glandulosa","ok"
"Croton floribundus",-39.041389,-14.913611,"possibly_ok","Croton floribundus","ok"
"Croton floribundus",-40.109167,-13.944722,"possibly_ok","Croton floribundus","ok"
"Joannesia princeps",-40.426111,-17.138056,"possibly_ok","Joannesia princeps","ok"
"Alchornea triplinervia",-47.850833,-24.879444,"possibly_ok","Alchornea triplinervia","ok"
"Croton floribundus",-39.341667,-15.173611,"possibly_ok","Croton floribundus","ok"
"Alchornea triplinervia",-41.083611,-20.516111,"possibly_ok","Alchornea triplinervia","ok"
"Croton urucurana",-49.571667,-16.1625,"possibly_ok","Croton urucurana","ok"
"Croton urucurana",-46.987778,-13.960833,"possibly_ok","Croton urucurana","ok"
"Croton floribundus",-40.105278,-14.421111,"possibly_ok","Croton floribundus","ok"
"Alchornea glandulosa",-48.05,-15.866667,"possibly_ok","Alchornea glandulosa","ok"
"Croton floribundus",-51.233333,-23.366667,"possibly_ok","Croton floribundus","ok"
"Croton urucurana",-43.937222,-22.696944,"possibly_ok","Croton urucurana","ok"
"Croton floribundus",-46.61885,-23.638183,"possibly_ok","Croton floribundus","ok"
"Croton floribundus",-44.750433,-22.409617,"possibly_ok","Croton floribundus","ok"
"Croton urucurana",-57.685718,-28.434517,"possibly_ok","Croton urucurana","ok"
"Croton urucurana",-47.053889,-11.567778,"possibly_ok","Croton urucurana","ok"
"Croton urucurana",-47.466667,-15.516667,"possibly_ok","Croton urucurana","ok"
"Alchornea glandulosa",-46.286111,-23.769444,"possibly_ok","Alchornea glandulosa","ok"
"Croton floribundus",-40.58921,-20.042982,"possibly_ok","Croton floribundus","ok"
"Croton urucurana",-55.34246,-20.002672,"possibly_ok","Croton urucurana","ok"
"Croton urucurana",-52.462222,-14.655278,"possibly_ok","Croton urucurana","ok"
"Croton urucurana",-45.669167,-20.256389,"possibly_ok","Croton urucurana","ok"
"Alchornea triplinervia",-55.584967,-27.274267,"possibly_ok","Alchornea triplinervia","ok"
"Croton urucurana",-56.85,-15.166667,"possibly_ok","Croton urucurana","ok"
"Croton urucurana",-43.635556,-19.348056,"possibly_ok","Croton urucurana","ok"
"Alchornea triplinervia",-48.849167,-15.802222,"possibly_ok","Alchornea triplinervia","ok"
"Alchornea triplinervia",-42.916667,-16.5,"possibly_ok","Alchornea triplinervia","ok"
"Inga marginata",-44.566667,-22.25,"possibly_ok","Inga marginata","ok"
"Peltophorum dubium",-52.817778,-24.823056,"possibly_ok","Peltophorum dubium","ok"
"Cordia trichotoma",-52.826556,-24.922,"possibly_ok","Cordia trichotoma","ok"
"Inga marginata",-44.566667,-22.25,"possibly_ok","Inga marginata","ok"
"Piptadenia gonoacantha",-44.610556,-22.451944,"possibly_ok","Piptadenia gonoacantha","ok"
"Citharexylum myrianthum",-49.425278,-28.598889,"possibly_ok","Citharexylum myrianthum","ok"
"Alchornea glandulosa",-49.351389,-28.740833,"possibly_ok","Alchornea glandulosa","ok"
"Paubrasilia echinata",-49.006667,-26.134722,"possibly_ok","Paubrasilia echinata","ok"
"Schinus terebinthifolia",-40.965556,-21.139167,"possibly_ok","Schinus terebinthifolia","ok"
"Anadenanthera peregrina",-53.655556,-20.648889,"possibly_ok","Anadenanthera peregrina","ok"
"Maclura tinctoria",-56.765278,-20.670833,"possibly_ok","Maclura tinctoria","ok"
"Balfourodendron riedelianum",-56.320833,-20.158611,"possibly_ok","Balfourodendron riedelianum","ok"
"Enterolobium contortisiliquum",-57.566667,-19.1675,"possibly_ok","Enterolobium contortisiliquum","ok"
"Myrsine guianensis",-56.590555,-21.141944,"possibly_ok","Myrsine guianensis","ok"
