"","spp","lon","lat"
"1","Alchornea triplinervia ",-42.601389,-22.928611
"2","Citharexylum myrianthum ",-39.594444,-11.633056
"3","Myrsine guianensis ",-48.482639,-22.886889
"4","Cariniana estrellensis ",-40.304167,-20.183056
"5","Lecythis pisonis ",-40.304167,-20.183056
"6","Albizia niopoides ",-53.261972,-22.768667
"7","Albizia niopoides ",-53.188583,-22.719222
"8","Albizia niopoides ",-53.17225,-22.725083
"9","Albizia niopoides ",-53.175167,-22.715306
"10","Albizia niopoides ",-53.293361,-22.781222
"11","Enterolobium contortisiliquum ",-53.306694,-22.784528
"12","Albizia niopoides ",-53.212806,-22.731083
"13","Albizia niopoides ",-53.19,-22.728083
"14","Peltophorum dubium ",-53.320167,-23.695056
"15","Inga vera ",-53.320167,-23.695056
"16","Balfourodendron riedelianum ",-53.320167,-23.695056
"17","Croton floribundus ",-45.506131,-20.260292
"18","Genipa americana ",-54.5775,-20.457222
"19","Solanum lycocarpum ",-52.985956,-17.9821
"20","Myrsine guianensis ",-35.843883,-8.713333
"21","Genipa americana ",-63.473611,-17.672222
"22","Genipa americana ",-79.476389,0.347222
"23","Genipa americana ",-76.151944,-0.097778
"24","Genipa americana ",-68.688889,-14.600278
"25","Genipa americana ",-59.516667,2.816667
"26","Genipa americana ",-63.565833,-17.111389
"27","Genipa americana ",-80.01347,-2.12347
"28","Genipa americana ",-63.618889,-18.744167
"29","Genipa americana ",-59.516667,2.816667
"30","Genipa americana ",-63.666667,-17.533333
"31","Genipa americana ",-78.7811,-0.15304
"32","Genipa americana ",-78.316944,-4.866667
"33","Genipa americana ",-67.466667,-14.383333
"34","Genipa americana ",-55,-2.516667
"35","Genipa americana ",-66.616667,-14.5
"36","Genipa americana ",-61.85,-16.866667
"37","Genipa americana ",-66.616667,-14.5
"38","Genipa americana ",-63.666667,-17.533333
"39","Genipa americana ",-79.219722,0.312222
"40","Genipa americana ",-68.565833,-14.325
"41","Albizia niopoides ",-76.45,-0.683333
"42","Genipa americana ",-69.05,-12.557222
"43","Genipa americana ",-79.333333,-1.65
"44","Genipa americana ",-73.416667,-3.8
"45","Genipa americana ",-62.75,-14.75
"46","Genipa americana ",-73.5,-4.5
"47","Genipa americana ",-74.975833,5.989722
"48","Genipa americana ",-78.684722,-5.321111
"49","Genipa americana ",-78.75,-5.25
"50","Genipa americana ",-57.5,-25.666667
"51","Genipa americana ",-67.766667,-14.45
"52","Genipa americana ",-78.338056,-5.056667
"53","Genipa americana ",-78.75,-5.25
"54","Genipa americana ",-68.083333,-14.233333
"55","Genipa americana ",-75.164444,-10.163611
"56","Copaifera langsdorffii ",-44.298083,-21.141306
"57","Panicum maximum ",-79.38333,-3.96667
"58","Guazuma ulmifolia ",-77.10139,2.0386
"59","Cordia superba ",-43.463333,-8.959722
"60","Alchornea triplinervia ",-57.06,-25.25
"61","Cajanus cajan ",-57.16,-25.25
"62","Genipa americana ",-76.13,-6.57
"63","Pouteria caimito ",-76.06,-6.56
"64","Bixa orellana ",-76.06,-6.56
