spp;Freq
Bixa orellana leiocarpa;1
Genipa americana jorgensenii;1
Maclura tinctoria xanthoxylon;1
Panicum maximum trichoglume;1
Persea americana americana;1
Albizia niopoides colombiana;2
Alchornea glandulosa pavoniana;2
Alchornea triplinervia crassifolia;3
Alchornea triplinervia laevigata;3
Hymenaea courbaril villosa;3
Inga vera eriocarpa;3
Centrolobium robustum macrochaete;4
Inga vera spuria;4
Senegalia polyphylla polyphylla;4
Hymenaea courbaril subsessilis;6
Copaifera langsdorffii glabra;7
Alchornea triplinervia triplinervia;9
Lecythis pisonis usitata;10
Alchornea triplinervia janeirensis;15
Maclura tinctoria mora;15
Peltophorum dubium dubium;17
Alchornea triplinervia parvifolia;24
Guazuma ulmifolia ulmifolia;27
Centrolobium robustum ;28
Alchornea glandulosa glandulosa;30
Genipa americana americana;32
Hymenaea courbaril courbaril;32
Canavalia ensiformis ;33
Inga vera vera;39
Senna multijuga peregrinatrix;39
Apuleia leiocarpa molaris;40
Senna multijuga verrucosa;42
Plathymenia foliolosa ;44
Lafoensia glyptocarpa ;46
Alchornea triplinervia boliviana;47
Anadenanthera peregrina peregrina;47
Copaifera langsdorffii grandifolia;48
Genipa americana caruto;50
Hymenaea courbaril stilbocarpa;54
Albizia niopoides niopoides;62
Alchornea glandulosa iricurana;67
Copaifera langsdorffii langsdorffii;89
Joannesia princeps ;97
Morus nigra ;108
Senna multijuga lindleyana;147
Anadenanthera peregrina falcata;151
Clitoria fairchildiana ;151
Carica papaya ;171
Dalbergia nigra ;204
Senna multijuga multijuga;216
Maclura tinctoria tinctoria;218
Citharexylum myrianthum ;265
Balfourodendron riedelianum ;282
Handroanthus heptaphyllus ;304
Zeyheria tuberculosa ;306
Mangifera indica ;311
Albizia niopoides ;321
Cajanus cajan ;362
Paubrasilia echinata ;392
Lecythis pisonis ;413
Persea americana ;421
Acnistus arborescens ;467
Croton floribundus ;500
Anadenanthera peregrina ;509
Croton urucurana ;518
Cariniana estrellensis ;537
Peltophorum dubium ;538
Pterogyne nitens ;586
Solanum granulosoleprosum ;592
Inga vera ;625
Enterolobium contortisiliquum ;626
Solanum lycocarpum ;633
Cordia superba ;639
Handroanthus serratifolius ;659
Maclura tinctoria ;734
Pouteria caimito ;748
Cordia trichotoma ;767
Panicum maximum ;786
Apuleia leiocarpa ;797
Senna multijuga ;829
Bixa orellana ;863
Myrsine guianensis ;1056
Copaifera langsdorffii ;1135
Genipa americana ;1212
Alchornea glandulosa ;1243
Hymenaea courbaril ;1486
Senegalia polyphylla ;1616
Alchornea triplinervia ;1634
Inga marginata ;1863
Guazuma ulmifolia ;2212
